id;name;acctcode
IGU1190012;[1190012] PERSEDIAAN NON FOOD;1190012
IGU1190013;[1190013] PERSEDIAAN CONFECTIONERY;1190013
IGU1210001;[1210001] TANAH PONDOK BAMBU;1210001
IGU1210002;[1210002] TANAH;1210002
IGU1210003;[1210003] BANGUNAN / GEDUNG;1210003
IGU1210004;[1210004] PERALATAN GUDANG;1210004
IGU1210005;[1210005] PERALATAN KANTOR;1210005
IGU1210006;[1210006] KENDARAAN;1210006
IGU1210007;[1210007] INSTALASI;1210007
IGU1220001;[1220001] KONSTRUKSI DALAM PENYELESAIAN;1220001
IGU1310001;[1310001] AK. PENYUSUTAN BANGUNAN/GEDUNG;1310001
IGU1310002;[1310002] AK.PENYUSUTAN PERALATAN GUDANG;1310002
IGU1310003;[1310003] AK. PENYUSUTAN PERALATAN KANTOR;1310003
IGU1310004;[1310004] AK. PENYUSUTAN KENDARAAN;1310004
IGU1310005;[1310005] AK. PENYUSUTAN INSTALASI;1310005
IGU1410001;[1410001] ASET PAJAK TANGGUHAN;1410001
IGU2110001;[2110001] HUTANG DAGANG;2110001
IGU2110002;[2110002] HUTANG DITANGGUHKAN;2110002
IGU2120001;[2120001] BANK BCA Acc : 2303000704;2120001
IGU2120002;[2120002] BCA TIME LOAN;2120002
IGU2130001;[2130001] TITIPAN;2130001
IGU2140001;[2140001] BEA MASUK PPNBM;2140001
IGU2140002;[2140002] BY. SHIPMENT;2140002
IGU2140003;[2140003] BY. RECEIVING;2140003
IGU2140004;[2140004] BY. PIB/PNBP;2140004
IGU2140005;[2140005] BY. SURVEYOR;2140005
IGU2140006;[2140006] BY. FREIGHT;2140006
IGU2140007;[2140007] BY. KARANTINA;2140007
IGU2145001;[2145001] BIAYA YANG HARUS DIBAYAR;2145001
IGU2150001;[2150001] PPH PS 21;2150001
IGU2150002;[2150002] PPH PS 23;2150002
IGU2150003;[2150003] PPH PS 25;2150003
IGU2150004;[2150004] PPH PS 4 (2);2150004
IGU2150005;[2150005] PPN KELUARAN;2150005
IGU2160001;[2160001] HUTANG KENDARAAN;2160001
IGU2170001;[2170001] HUTANG LAIN-LAIN;2170001
IGU2170002;[2170002] HUTANG LAIN LAIN 2;2170002
IGU2170003;[2170003] HUTANG LAIN LAIN;2170003
IGU2170004;[2170004] HUTANG LAIN LAIN PT LOTTE;2170004
IGU2210001;[2210001] BCA KREDIT INVESTASI;2210001
IGU2210002;[2210002] BCA KREDIT INVESTASI   II;2210002
IGU2210003;[2210003] BCA KREDIT INVESTASI III;2210003
IGU2210004;[2210004] BCA KREDIT INVESTASI IV;2210004
IGU2210005;[2210005] BCA KREDIT INVENTASI V;2210005
IGU2210006;[2210006] BCA KREDIT INVESTASI VI;2210006
IGU2220001;[2220001] IMBALAN KERJA KARYAWAN;2220001
IGU3110001;[3110001] MODAL SENDIRI;3110001
IGU3110002;[3110002] PENAMBAHAN MODAL;3110002
IGU3210001;[3210001] LABA YANG DITAHAN;3210001
IGU3210002;[3210002] LABA TAHUN LALU;3210002
IGU3310001;[3310001] LABA TAHUN BERJALAN;3310001
IGU3510001;[3510001] KERUGIAN (KEUNTUNGAN) AKTUARIS;3510001
IGU3910001;[3910001] Opening Balance Stock;3910001
IGU3910002;[3910002] Opening Balance AR;3910002
IGU3910003;[3910003] Opening Balance AP;3910003
IGU3910004;[3910004] Opening Balance GL;3910004
IGU4110001;[4110001] PENJUALAN BARANG MEAT;4110001
IGU4110002;[4110002] PENJUALAN BARANG DELICATESSENS;4110002
IGU4110003;[4110003] PENJUALAN BARANG POULTRY;4110003
IGU4110004;[4110004] PENJUALAN BARANG SEAFOOD;4110004
IGU4110005;[4110005] PENJUALAN BARANG GROCERY;4110005
IGU4110006;[4110006] PENJUALAN BARANG CONDIMENT n SAUCE;4110006
IGU4110007;[4110007] PENJUALAN BARANG VEGETABLES;4110007
IGU4110008;[4110008] PENJUALAN BARANG DAIRY PRODUCTS;4110008
IGU4110009;[4110009] PENJUALAN BARANG BEVERAGES;4110009
IGU4110010;[4110010] PENJUALAN BARANG PASTRY;4110010
IGU4110011;[4110011] PENJUALAN BARANG BAKERY;4110011
IGU4110012;[4110012] PENJUALAN BARANG NON FOOD;4110012
IGU4110013;[4110013] PENJUALAN BARANG CONFECTIONERY;4110013
IGU4120001;[4120001] RETUR PENJUALAN MEAT;4120001
IGU4120002;[4120002] RETUR PENJUALAN DELICATESSENS;4120002
IGU4120003;[4120003] RETUR PENJUALAN POULTRY;4120003
